date,pred,calculated_at
2020-09-13,978.88525,2024-08-23 00:56:37.196543
2020-09-14,4466.7188,2024-08-23 00:56:37.196543
2020-09-15,5011.8965,2024-08-23 00:56:37.196543
2020-09-16,4690.2266,2024-08-23 00:56:37.196543
2020-09-17,4396.876,2024-08-23 01:12:15.285310
2020-09-18,3433.627,2024-08-23 01:12:15.285310
2020-09-19,2073.0078,2024-08-23 01:12:15.285310
2020-09-20,762.3894,2024-08-23 01:12:15.285310
2020-09-21,4702.31,2024-08-23 01:12:15.285310
2020-09-22,4554.494,2024-08-23 01:12:15.285310
2020-09-23,4492.715,2024-08-23 01:12:15.285310
2020-09-24,4280.7544,2024-08-22 11:09:58.925017
2020-09-25,3163.2988,2024-08-22 11:09:58.925017
2020-09-26,1973.6617,2024-08-22 11:09:58.925017
2020-09-27,782.70264,2024-08-22 11:09:58.925017
2020-09-28,4552.4155,2024-08-22 11:09:58.925017
2020-09-29,4544.363,2024-08-22 11:09:58.925017
2020-09-30,4487.482,2024-08-22 11:09:58.925017
2020-10-01,4270.5376,2024-08-22 20:07:51.872506
2020-10-02,3887.7688,2024-08-22 20:07:51.872506
2020-10-03,2744.055,2024-08-22 20:07:51.872506
2020-10-04,1324.346,2024-08-22 20:07:51.872506
2020-10-05,5135.906,2024-08-22 20:07:51.872506
2020-10-06,4937.955,2024-08-22 20:07:51.872506
2020-10-07,4875.406,2024-08-22 20:07:51.872506
2020-10-08,4711.3647,2024-08-23 01:06:07.117293
2020-10-09,3893.5103,2024-08-23 01:06:07.117293
2020-10-10,2264.5437,2024-08-23 01:06:07.117293
2020-10-11,1353.9556,2024-08-23 01:06:07.117293
2020-10-12,5036.3804,2024-08-23 01:06:07.117293
2020-10-13,5218.8076,2024-08-23 01:06:07.117293
2020-10-14,5313.4014,2024-08-23 01:06:07.117293
2020-10-15,4545.5767,2024-08-22 05:37:03.573828
2020-10-16,3783.3906,2024-08-22 05:37:03.573828
2020-10-17,2517.4514,2024-08-22 05:37:03.573828
2020-10-18,896.4995,2024-08-22 05:37:03.573828
2020-10-19,3871.8003,2024-08-22 05:37:03.573828
2020-10-20,4089.3823,2024-08-22 05:37:03.573828
2020-10-21,3976.3308,2024-08-22 05:37:03.573828
2020-10-22,4806.756,2024-08-22 19:04:32.453805
2020-10-23,3938.7944,2024-08-22 19:04:32.453805
2020-10-24,1854.8894,2024-08-22 19:04:32.453805
2020-10-25,864.4824,2024-08-22 19:04:32.453805
2020-10-26,4700.0625,2024-08-22 19:04:32.453805
2020-10-27,4564.5225,2024-08-22 19:04:32.453805
2020-10-28,3817.495,2024-08-22 19:04:32.453805
2020-10-29,3365.4236,2024-08-22 02:56:12.204923
2020-10-30,3314.707,2024-08-22 02:56:12.204923
2020-10-31,1444.9062,2024-08-22 02:56:12.204923
2020-11-01,892.5386,2024-08-22 02:56:12.204923
2020-11-02,4639.167,2024-08-22 02:56:12.204923
2020-11-03,4687.5117,2024-08-22 02:56:12.204923
2020-11-04,4364.383,2024-08-22 02:56:12.204923
2020-11-05,4034.503,2024-08-22 09:51:17.670293
2020-11-06,3141.2976,2024-08-22 09:51:17.670293
2020-11-07,2048.478,2024-08-22 09:51:17.670293
2020-11-08,919.04565,2024-08-22 09:51:17.670293
2020-11-09,4613.703,2024-08-22 09:51:17.670293
2020-11-10,4889.68,2024-08-22 09:51:17.670293
2020-11-11,4563.5405,2024-08-22 09:51:17.670293
2020-11-12,4084.5461,2024-08-22 12:30:41.153651
2020-11-13,3349.373,2024-08-22 12:30:41.153651
2020-11-14,2059.9429,2024-08-22 12:30:41.153651
2020-11-15,820.0054,2024-08-22 12:30:41.153651
2020-11-16,4214.666,2024-08-22 12:30:41.153651
2020-11-17,4235.725,2024-08-22 12:30:41.153651
2020-11-18,4069.4106,2024-08-22 12:30:41.153651
2020-11-19,3589.0032,2024-08-22 11:52:59.928072
2020-11-20,3319.6116,2024-08-22 11:52:59.928072
2020-11-21,1961.1396,2024-08-22 11:52:59.928072
2020-11-22,923.8579,2024-08-22 11:52:59.928072
2020-11-23,4753.0156,2024-08-22 11:52:59.928072
2020-11-24,4501.409,2024-08-22 11:52:59.928072
2020-11-25,4068.7449,2024-08-22 11:52:59.928072
2020-11-26,3426.5369,2024-08-22 12:41:49.266149
2020-11-27,2678.985,2024-08-22 12:41:49.266149
2020-11-28,2364.162,2024-08-22 12:41:49.266149
2020-11-29,1820.6923,2024-08-22 12:41:49.266149
2020-11-30,4073.2144,2024-08-22 12:41:49.266149
2020-12-01,4042.9932,2024-08-22 12:41:49.266149
2020-12-02,3855.5757,2024-08-22 12:41:49.266149
2020-12-03,4511.1616,2024-08-22 04:27:40.833897
2020-12-04,4082.7153,2024-08-22 04:27:40.833897
2020-12-05,2591.7087,2024-08-22 04:27:40.833897
2020-12-06,1693.3994,2024-08-22 04:27:40.833897
2020-12-07,4900.2773,2024-08-22 04:27:40.833897
2020-12-08,4778.375,2024-08-22 04:27:40.833897
2020-12-09,4544.1724,2024-08-22 04:27:40.833897
2020-12-10,3796.458,2024-08-22 05:22:04.338759
2020-12-11,3438.195,2024-08-22 05:22:04.338759
2020-12-12,2247.1772,2024-08-22 05:22:04.338759
2020-12-13,1331.5995,2024-08-22 05:22:04.338759
2020-12-14,3911.2888,2024-08-22 05:22:04.338759
2020-12-15,3771.9207,2024-08-22 05:22:04.338759
2020-12-16,4146.89,2024-08-22 05:22:04.338759
2020-12-17,3923.6106,2024-08-22 02:17:20.012698
2020-12-18,3356.8303,2024-08-22 02:17:20.012698
2020-12-19,1937.6139,2024-08-22 02:17:20.012698
2020-12-20,1018.1116,2024-08-22 02:17:20.012698
2020-12-21,4403.63,2024-08-22 02:17:20.012698
2020-12-22,4440.146,2024-08-22 02:17:20.012698
2020-12-23,4450.0933,2024-08-22 02:17:20.012698
2020-12-24,3329.6804,2024-08-22 00:14:07.961829
2020-12-25,2961.3838,2024-08-22 00:14:07.961829
2020-12-26,1777.7467,2024-08-22 00:14:07.961829
2020-12-27,720.02954,2024-08-22 00:14:07.961829
2020-12-28,3988.73,2024-08-22 00:14:07.961829
2020-12-29,4270.1743,2024-08-22 00:14:07.961829
2020-12-30,3642.6724,2024-08-22 00:14:07.961829
2020-12-31,2671.5493,2024-08-22 20:59:19.117830
2021-01-01,1935.9182,2024-08-22 20:59:19.117830
