date,cantidad_entregas,is_holiday,holiday_name,weekday,tipo_feriado
2020-11-06,3174,false,,5,0
2020-11-07,1547,false,,6,-1
2020-11-08,401,false,,7,-1
2020-11-09,3381,false,,1,0
2020-11-10,3601,false,,2,0
2020-11-11,3486,false,,3,0
2020-11-12,3387,false,,4,0
2020-11-13,3341,false,,5,0
2020-11-14,1472,false,,6,-1
2020-11-15,458,false,,7,-1
2020-11-16,3053,false,,1,0
2020-11-17,3052,false,,2,0
2020-11-18,2773,false,,3,0
2020-11-19,3047,false,,4,0
2020-11-20,2865,false,,5,0
2020-11-21,1602,false,,6,-1
2020-11-22,616,false,,7,-1
2020-11-23,1342,true,National Sovereignty Day,1,1
2020-11-24,3576,false,,2,0
2020-11-25,3516,false,,3,0
2020-11-26,3709,false,,4,0
2020-11-27,3701,false,,5,0
2020-11-28,1911,false,,6,-1
2020-11-29,853,false,,7,-1
2020-11-30,3649,false,,1,0
2020-12-01,3567,false,,2,0
2020-12-02,3512,false,,3,0
2020-12-03,3454,false,,4,0
2020-12-04,3627,false,,5,0
2020-12-05,1808,false,,6,-1
2020-12-06,699,false,,7,-1
2020-12-07,1469,true,Tourist Bridge Holiday,1,1
2020-12-08,1513,true,Immaculate Conception,2,2
2020-12-09,3628,false,,3,0
2020-12-10,3585,false,,4,0
2020-12-11,3694,false,,5,0
2020-12-12,1620,false,,6,-1
2020-12-13,787,false,,7,-1
2020-12-14,3743,false,,1,0
2020-12-15,3957,false,,2,0
2020-12-16,3670,false,,3,0
2020-12-17,3675,false,,4,0
2020-12-18,3346,false,,5,0
2020-12-19,1639,false,,6,-1
2020-12-20,615,false,,7,-1
2020-12-21,3470,false,,1,0
2020-12-22,3092,false,,2,0
2020-12-23,2907,false,,3,0
2020-12-24,1642,false,,4,0
2020-12-25,315,true,Christmas Day,5,1
2020-12-26,1450,false,,6,-1
2020-12-27,447,false,,7,-1
2020-12-28,3550,false,,1,0
2020-12-29,3330,false,,2,0
2020-12-30,3012,false,,3,0
2020-12-31,1553,true,New Year's Eve,4,1
2021-01-01,230,true,New Year's Day,5,1
2021-01-02,1031,false,,6,-1
2021-01-03,348,false,,7,-1
2021-01-04,3173,false,,1,0
2021-01-05,3034,false,,2,0
2021-01-06,3395,false,,3,0
2021-01-07,3540,false,,4,0
2021-01-08,3372,false,,5,0
2021-01-09,1808,false,,6,-1
2021-01-10,528,false,,7,-1
2021-01-11,3755,false,,1,0
2021-01-12,3945,false,,2,0
2021-01-13,4026,false,,3,0
2021-01-14,3729,false,,4,0
2021-01-15,3454,false,,5,0
2021-01-16,1449,false,,6,-1
2021-01-17,474,false,,7,-1
2021-01-18,3765,false,,1,0
2021-01-19,3881,false,,2,0
2021-01-20,3694,false,,3,0
2021-01-21,3449,false,,4,0
2021-01-22,3691,false,,5,0
2021-01-23,1791,false,,6,-1
2021-01-24,430,false,,7,-1
2021-01-25,3331,false,,1,0
2021-01-26,3423,false,,2,0
2021-01-27,3366,false,,3,0
2021-01-28,3443,false,,4,0
2021-01-29,3170,false,,5,0
2021-01-30,1456,false,,6,-1
2021-01-31,499,false,,7,-1
2021-02-01,3869,false,,1,0
2021-02-02,4130,false,,2,0
2021-02-03,4160,false,,3,0
2021-02-04,4038,false,,4,0
2021-02-05,3803,false,,5,0
2021-02-06,1810,false,,6,-1
2021-02-07,470,false,,7,-1
2021-02-08,4101,false,,1,0
2021-02-09,4617,false,,2,0
2021-02-10,3964,false,,3,0
2021-02-11,3469,false,,4,0
2021-02-12,3594,false,,5,0
2021-02-13,1349,false,,6,-1
2021-02-14,435,false,,7,-1
2021-02-15,1142,true,Carnival / Shrove Monday,1,2
2021-02-16,1280,true,Carnival / Shrove Tuesday / Pancake Day,2,2
2021-02-17,3412,false,,3,0
2021-02-18,3344,false,,4,0
2021-02-19,3631,false,,5,0
2021-02-20,1742,false,,6,-1
2021-02-21,536,false,,7,-1
2021-02-22,3487,false,,1,0
2021-02-23,3895,false,,2,0
2021-02-24,3424,false,,3,0
2021-02-25,3552,false,,4,0
2021-02-26,3301,false,,5,0
2021-02-27,1449,false,,6,-1
2021-02-28,513,false,,7,-1
