date,true,pred,pred_corrected
2020-11-09,3381.0,3850.901,3829.2368
2020-11-10,3601.0,4038.1787,3945.9163
2020-11-11,3486.0,3674.105,3624.1497
2020-11-12,3387.0,3659.5916,3688.34
2020-11-13,3341.0,3468.8672,3452.3066
2020-11-14,1472.0,1627.7784,1548.0831
2020-11-15,458.0,660.405,729.82355
2020-11-16,3053.0,3307.5645,3373.402
2020-11-17,3052.0,3488.1252,3508.6338
2020-11-18,2773.0,3239.7173,3167.3062
2020-11-19,3047.0,3462.3425,3435.1929
2020-11-20,2865.0,3062.4644,2956.418
2020-11-21,1602.0,1714.8077,1720.7073
2020-11-22,616.0,459.08203,483.22037
2020-11-23,1342.0,3128.789,3221.9287
2020-11-24,3576.0,2694.2864,2252.4211
2020-11-25,3516.0,2702.5798,3117.8875
2020-11-26,3709.0,2613.5376,2867.369
2020-11-27,3701.0,2718.639,3189.506
2020-11-28,1911.0,1335.8406,1746.3542
2020-11-29,853.0,815.71313,1042.9883
2020-11-30,3649.0,3098.2368,3443.3398
2020-12-01,3567.0,3486.786,3666.9692
2020-12-02,3512.0,3527.2087,3470.6187
2020-12-03,3454.0,3906.3223,3905.438
2020-12-04,3627.0,3650.0007,3479.6052
2020-12-05,1808.0,1551.3162,1494.4148
2020-12-06,699.0,387.0598,676.649
2020-12-07,1469.0,3974.6628,4129.052
2020-12-08,1513.0,3661.3386,3025.408
2020-12-09,3628.0,3308.6484,2768.5068
2020-12-10,3585.0,3160.3818,3314.1516
2020-12-11,3694.0,3224.0347,3340.4187
2020-12-12,1620.0,1815.5599,2110.9912
2020-12-13,787.0,520.43286,448.33435
2020-12-14,3743.0,3241.8765,3673.957
2020-12-15,3957.0,3325.035,3840.1155
2020-12-16,3670.0,3309.2473,3530.2432
2020-12-17,3675.0,3453.3228,3572.48
2020-12-18,3346.0,3509.176,3669.3557
2020-12-19,1639.0,1866.2439,1834.9519
2020-12-20,615.0,1166.3142,1136.8135
2020-12-21,3470.0,3575.052,3521.5
2020-12-22,3092.0,3365.0837,3242.8633
2020-12-23,2907.0,3253.6135,3120.425
2020-12-24,1642.0,3251.2905,3242.2344
2020-12-25,315.0,2764.7153,2401.4648
2020-12-26,1450.0,1851.713,1157.5491
2020-12-27,447.0,195.22852,125.888336
2020-12-28,3550.0,2895.1094,2951.7117
2020-12-29,3330.0,3130.8716,3499.788
2020-12-30,3012.0,2649.4749,2736.6748
2020-12-31,1553.0,2537.2644,2750.9106
2021-01-01,230.0,2176.878,2235.068
2021-01-02,1031.0,1165.4568,864.2684
2021-01-03,348.0,298.01807,192.21739
2021-01-04,3173.0,3652.712,3512.099
2021-01-05,3034.0,3356.0347,3178.8928
2021-01-06,3395.0,3220.6733,3085.7612
2021-01-07,3540.0,2409.7568,2637.7017
2021-01-08,3372.0,1816.8115,2442.2861
2021-01-09,1808.0,1555.5057,2111.0906
2021-01-10,528.0,1047.1477,1204.385
2021-01-11,3755.0,4041.0713,4098.3745
2021-01-12,3945.0,3420.9663,3321.7805
2021-01-13,4026.0,3217.3638,3354.1267
2021-01-14,3729.0,2804.4404,3057.1006
2021-01-15,3454.0,2949.7783,3146.0796
2021-01-16,1449.0,1305.5215,1434.7865
2021-01-17,474.0,320.24658,516.83716
2021-01-18,3765.0,3739.3628,3989.6785
2021-01-19,3881.0,3723.5671,3937.1887
2021-01-20,3694.0,3290.6829,3466.1895
2021-01-21,3449.0,3583.139,3667.88
2021-01-22,3691.0,3342.882,3387.0498
2021-01-23,1791.0,1151.8611,1382.779
2021-01-24,430.0,152.1001,365.78592
2021-01-25,3331.0,3058.1123,3222.1658
2021-01-26,3423.0,3111.354,3433.9688
2021-01-27,3366.0,3690.513,3882.028
2021-01-28,3443.0,3312.438,3318.744
2021-01-29,3170.0,3061.2039,3233.9233
2021-01-30,1456.0,1300.4963,1378.5847
2021-01-31,499.0,367.05737,554.3604
2021-02-01,3869.0,3622.588,3763.954
2021-02-02,4130.0,3939.6057,3983.3076
2021-02-03,4160.0,3766.8486,3944.531
2021-02-04,4038.0,3897.3076,4167.6084
2021-02-05,3803.0,3037.9348,3182.7378
2021-02-06,1810.0,1973.6278,2333.9688
2021-02-07,470.0,981.80347,1034.4559
2021-02-08,4101.0,4121.9053,4024.5928
2021-02-09,4617.0,4206.3115,4244.2495
2021-02-10,3964.0,4257.142,4393.7964
2021-02-11,3469.0,3650.074,3640.8076
2021-02-12,3594.0,2795.196,2769.1074
2021-02-13,1349.0,1736.2268,2066.639
2021-02-14,435.0,668.9155,701.74695
2021-02-15,1142.0,3319.4253,3427.3538
2021-02-16,1280.0,3696.7354,3054.562
2021-02-17,3412.0,3606.0566,2968.3933
2021-02-18,3344.0,3329.604,3234.2888
2021-02-19,3631.0,3372.6116,3228.2139
2021-02-20,1742.0,1260.2915,1460.6404
2021-02-21,536.0,124.72046,376.35712
2021-02-22,3487.0,2618.0903,2978.3928
2021-02-23,3895.0,2598.0024,3280.7327
2021-02-24,3424.0,2659.0132,3209.2776
2021-02-25,3552.0,2937.1772,3202.006
2021-02-26,3301.0,3037.9177,3302.5479
2021-02-27,1449.0,1796.1661,1793.9087
2021-02-28,513.0,766.6345,693.6574
2021-03-01,3482.0,3235.7834,3195.8647
2021-03-02,3685.0,4153.0625,4079.753
2021-03-03,3920.0,4029.064,3817.1711
2021-03-04,3684.0,4138.7036,4264.3633
2021-03-05,3431.0,3697.2998,3631.7288
2021-03-06,1472.0,1718.5731,1781.2183
2021-03-07,361.0,818.0801,931.61664
2021-03-08,4268.0,3817.4417,3754.7256
2021-03-09,4152.0,3964.9033,4222.7935
2021-03-10,4091.0,3556.5078,3641.099
2021-03-11,4728.0,3759.576,3976.6797
2021-03-12,4230.0,3007.2483,3408.3699
2021-03-13,1633.0,1361.488,1998.2888
2021-03-14,505.0,24.394043,296.2372
2021-03-15,4026.0,3521.2905,3770.6833
2021-03-16,4517.0,3353.0034,3601.481
2021-03-17,4445.0,3515.317,3949.3984
2021-03-18,4224.0,3615.2695,3921.5835
2021-03-19,4117.0,3031.5376,3243.108
2021-03-20,1647.0,1715.669,2151.49
2021-03-21,476.0,-252.26025,-197.46535
2021-03-22,3774.0,3532.775,3859.7314
2021-03-23,3809.0,3462.1084,3523.725
2021-03-24,1581.0,3558.5928,3752.1418
2021-03-25,3739.0,3781.5332,3238.666
2021-03-26,3479.0,3499.9097,3503.499
2021-03-27,1421.0,1715.2,1749.6318
2021-03-28,420.0,-102.91504,-58.56643
2021-03-29,3535.0,2915.2375,3131.36
2021-03-30,3447.0,3463.7861,3724.1125
2021-03-31,3283.0,2520.0188,2919.7112
2021-04-01,2869.0,3904.5251,4327.7974
2021-04-02,889.0,3888.838,3664.4548
2021-04-03,1223.0,1504.7476,777.9083
2021-04-04,438.0,120.86377,17.923615
2021-04-05,3709.0,4358.3125,4175.2285
2021-04-06,3804.0,3894.2478,3871.8323
2021-04-07,4051.0,3808.7598,3718.3757
2021-04-08,4107.0,3774.5208,3935.8198
2021-04-09,3646.0,2733.616,3304.904
2021-04-10,1710.0,1653.5542,2131.0984
2021-04-11,518.0,1207.1641,1163.7074
2021-04-12,3828.0,4638.4424,4656.2773
2021-04-13,3746.0,4507.7744,4184.426
2021-04-14,5195.0,4396.8823,4036.3936
2021-04-15,4646.0,3778.5269,4139.3486
2021-04-16,4835.0,3350.9893,3432.77
2021-04-17,2358.0,1725.1439,2125.5044
2021-04-18,674.0,233.6499,705.8016
2021-04-19,4224.0,3410.7249,3902.2559
2021-04-20,4311.0,3716.566,4118.915
2021-04-21,3971.0,3489.585,3798.6794
2021-04-22,3721.0,3411.8687,3563.98
2021-04-23,3512.0,3482.4563,3493.5183
2021-04-24,1407.0,1598.934,1631.5964
2021-04-25,501.0,233.88818,137.18065
2021-04-26,3581.0,3253.5876,3304.151
2021-04-27,3580.0,3455.487,3745.5786
2021-04-28,3457.0,3415.456,3637.679
2021-04-29,3310.0,3419.754,3465.5095
2021-04-30,3350.0,3620.6448,3803.7654
2021-05-01,653.0,920.0928,1048.2286
2021-05-02,442.0,-192.52661,-179.95924
2021-05-03,3106.0,3622.6326,3864.0854
2021-05-04,3819.0,4201.8047,4100.918
2021-05-05,3105.0,4051.1758,3988.2126
2021-05-06,3123.0,4043.6924,3800.8965
2021-05-07,2912.0,3125.905,2990.0354
2021-05-08,1419.0,1495.7668,1573.6808
2021-05-09,421.0,327.16187,311.03558
2021-05-10,3780.0,4138.3516,4285.8438
2021-05-11,3744.0,4239.054,4242.2437
2021-05-12,4372.0,3873.8381,3833.5735
2021-05-13,3847.0,3655.8164,3991.5598
2021-05-14,3758.0,2842.476,2968.2896
2021-05-15,1777.0,1968.3665,2267.957
2021-05-16,567.0,915.7676,896.052
2021-05-17,3652.0,4068.5154,4032.2515
2021-05-18,4404.0,4288.259,4258.136
2021-05-19,3227.0,3949.007,3983.655
2021-05-20,3252.0,3850.1921,3675.1892
2021-05-21,2904.0,3190.1372,2952.5566
2021-05-22,1331.0,2016.8671,1951.258
2021-05-23,420.0,21.05371,-89.33479
2021-05-24,1300.0,3183.1997,3439.2527
2021-05-25,1060.0,3454.909,2924.1782
2021-05-26,3314.0,3240.3564,2706.3572
2021-05-27,3383.0,3228.6965,3227.1553
2021-05-28,3235.0,3468.9094,3462.3694
2021-05-29,1484.0,1412.5764,1521.0356
2021-05-30,516.0,426.8313,440.53104
2021-05-31,3690.0,3079.2786,3270.191
2021-06-01,3343.0,3368.8801,3972.1755
2021-06-02,3346.0,3166.0637,3200.6956
